ds,y
2017-12-18,15316
2017-12-19,17250
2017-12-20,17959
2017-12-21,20118
2017-12-22,19553
2017-12-23,19112
2017-12-24,18824
2017-12-25,17161
2017-12-26,17349
2017-12-27,18761
2017-12-28,18010
2017-12-29,17548
2017-12-30,17892
2017-12-31,19809
2018-01-01,18760
2018-01-02,16504
2018-01-03,17608
2018-01-04,18543
2018-01-05,20173
2018-01-06,17750
2018-01-07,15411
2018-01-08,15931
2018-01-09,16552
2018-01-10,15649
2018-01-11,15238
2018-01-12,15215
2018-01-13,15034
2018-01-14,13871
2018-01-15,12986
2018-01-16,13830
2018-01-17,13425
2018-01-18,12912
2018-01-19,15239
2018-01-20,14719
2018-01-21,14092
2018-01-22,15457
2018-01-23,15809
2018-01-24,17513
2018-01-25,17527
2018-01-26,17573
2018-01-27,17888
2018-01-28,14925
2018-01-29,15069
2018-01-30,15554
2018-01-31,17280
2018-02-01,16702
2018-02-02,17093
2018-02-03,16758
2018-02-04,16791
2018-02-05,18755
2018-02-06,18454
2018-02-07,17947
2018-02-08,17694
2018-02-09,19642
2018-02-10,17173
2018-02-11,14718
2018-02-12,14876
2018-02-13,16106
2018-02-14,15943
2018-02-15,15733
2018-02-16,16330
2018-02-17,14741
2018-02-18,13194
2018-02-19,13110
2018-02-20,15380
2018-02-21,16707
2018-02-22,16877
2018-02-23,18713
2018-02-24,18773
2018-02-25,15766
2018-02-26,15719
2018-02-27,16922
2018-02-28,15919
2018-03-01,13437
2018-03-02,13333
2018-03-03,13930
2018-03-04,13720
2018-03-05,15128
2018-03-06,15198
2018-03-07,15018
2018-03-08,15288
2018-03-09,16419
2018-03-10,14398
2018-03-11,11841
2018-03-12,11951
2018-03-13,12612
2018-03-14,13225
2018-03-15,12614
2018-03-16,14529
2018-03-17,13360
2018-03-18,11193
2018-03-19,12513
2018-03-20,13612
2018-03-21,15009
2018-03-22,15353
2018-03-23,18327
2018-03-24,18116
2018-03-25,15658
2018-03-26,16079
2018-03-27,17181
2018-03-28,17226
2018-03-29,17786
2018-03-30,16818
2018-03-31,18485
2018-04-01,16544
2018-04-02,16032
